"Otu00021","Otu00068","Otu00092","Otu00196","Otu00390","Otu00859","Otu00867","Otu01203","Otu01585","Otu01777","Otu01985","Otu02095","Otu02110","Otu02491","Otu02523","Otu02845","Otu02945"
178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
868,0,0,1,0,0,111,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,22,766,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
142,0,175,0,0,0,125,0,0,0,0,0,0,0,0,0,0
25,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,3,3,11,0,0,0,0,0,0,0,0,0,0,0,0,161
28,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
226,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,129,15,78,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,159,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150
265,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,132,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,22,1,0,0,0,2,0,64,0,0,0,0,0,0,0,0
70,0,0,0,0,0,513,69,0,0,0,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,257,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0
76,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,35,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,399,0,0,0,0,0,0,0,0
